Name,Opponent,Surface,ImpliedWinPercentage,League
Bernarda Pera,Evgeniya Rodina,Hard,65,WTA
Evgeniya Rodina,Bernarda Pera,Hard,35,WTA
Irina-Camelia Begu,Alexandra Eala,Hard,58,WTA
Alexandra Eala,Irina-Camelia Begu,Hard,42,WTA
Elise Mertens,Alycia Parks,Hard,63,WTA
Alycia Parks,Elise Mertens,Hard,37,WTA
Viktorija Golubic,Hailey Baptiste,Hard,55,WTA
Hailey Baptiste,Viktorija Golubic,Hard,45,WTA
Linda Fruhvirtova,Katherine Sebov,Hard,67,WTA
Katherine Sebov,Linda Fruhvirtova,Hard,33,WTA
Anna Kalinskaya,Victoria Jimenez Kasintseva,Hard,70,WTA
Victoria Jimenez Kasintseva,Anna Kalinskaya,Hard,30,WTA
Lauren Davis,Anna-Karolina Schmiedlova,Hard,60,WTA
Anna-Karolina Schmiedlova,Lauren Davis,Hard,40,WTA
Jasmine Paolini,Mirjam Bjorklund,Hard,56,WTA
Mirjam Bjorklund,Jasmine Paolini,Hard,44,WTA
Marta Kostyuk,Elisabetta Cocciaretto,Hard,72,WTA
Elisabetta Cocciaretto,Marta Kostyuk,Hard,28,WTA
Camila Giorgi,Kaia Kanepi,Hard,66,WTA
Kaia Kanepi,Camila Giorgi,Hard,34,WTA
Katerina Siniakova,Claire Liu,Hard,61,WTA
Claire Liu,Katerina Siniakova,Hard,39,WTA
Yulia Putintseva,Rebecca Marino,Hard,57,WTA
Rebecca Marino,Yulia Putintseva,Hard,43,WTA
Tereza Martincova,Tamara Korpatsch,Hard,65,WTA
Tamara Korpatsch,Tereza Martincova,Hard,35,WTA
Laura Siegemund,Mayar Sherif,Hard,54,WTA
Mayar Sherif,Laura Siegemund,Hard,46,WTA
Xiyu Wang,Brenda Fruhvirtova,Hard,68,WTA
Brenda Fruhvirtova,Xiyu Wang,Hard,32,WTA
Nao Hibino,Danka Kovinic,Hard,59,WTA
Danka Kovinic,Nao Hibino,Hard,41,WTA


