Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
Nao Hibino,Tamara Korpatsch,Yulia Putintseva,Laura Siegemund,Jasmine Paolini,Xiyu Wang
Jasmine Paolini,Laura Siegemund,Tamara Korpatsch,Nao Hibino,Xiyu Wang,Yulia Putintseva
Yulia Putintseva,Nao Hibino,Laura Siegemund,Xiyu Wang,Jasmine Paolini,Tamara Korpatsch
Laura Siegemund,Xiyu Wang,Tamara Korpatsch,Nao Hibino,Jasmine Paolini,Yulia Putintseva
Yulia Putintseva,Tamara Korpatsch,Nao Hibino,Xiyu Wang,Laura Siegemund,Jasmine Paolini
Jasmine Paolini,Laura Siegemund,Xiyu Wang,Yulia Putintseva,Tamara Korpatsch,Nao Hibino
Yulia Putintseva,Nao Hibino,Xiyu Wang,Laura Siegemund,Jasmine Paolini,Tamara Korpatsch
Jasmine Paolini,Laura Siegemund,Nao Hibino,Xiyu Wang,Yulia Putintseva,Tamara Korpatsch
Xiyu Wang,Yulia Putintseva,Laura Siegemund,Nao Hibino,Jasmine Paolini,Tamara Korpatsch
Jasmine Paolini,Tamara Korpatsch,Laura Siegemund,Xiyu Wang,Nao Hibino,Yulia Putintseva
