Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
P,Tommy Paul (37259833),Tommy Paul,37259833,P,11000,Guinard@Paul 01/07/2025 11:00PM ET,Paul,59.80
P,Daria Kasatkina (37259834),Daria Kasatkina,37259834,P,10300,Kasatkina@Jones 01/08/2025 04:30AM ET,Kasatkina,48.83
P,Amanda Anisimova (37259835),Amanda Anisimova,37259835,P,10000,Bondar@Anisimova 01/07/2025 11:30PM ET,Anisimova,49.61
P,Brandon Nakashima (37259836),Brandon Nakashima,37259836,P,9700,Nakashima@Hijikata 01/07/2025 09:00PM ET,Nakashima,51.37
P,Madison Keys (37259837),Madison Keys,37259837,P,9600,Keys@Ostapenko 01/08/2025 12:40AM ET,Keys,57.52
P,Nuno Borges (37259838),Nuno Borges,37259838,P,9400,Borges@Navone 01/07/2025 09:00PM ET,Borges,43.49
P,Benjamin Bonzi (37259839),Benjamin Bonzi,37259839,P,9300,Bonzi@Tu 01/07/2025 09:10PM ET,Bonzi,59.33
P,Elise Mertens (37259840),Elise Mertens,37259840,P,9200,Mertens@Zarazua 01/08/2025 12:40AM ET,Mertens,45.39
P,Paula Badosa (37259841),Paula Badosa,37259841,P,9100,Badosa@Krueger 01/07/2025 11:30PM ET,Badosa,53.26
P,Belinda Bencic (37259842),Belinda Bencic,37259842,P,8900,Samsonova@Bencic 01/07/2025 10:10PM ET,Bencic,38.82
P,Thanasi Kokkinakis (37259843),Thanasi Kokkinakis,37259843,P,8800,Kokkinakis@Etcheverry 01/08/2025 03:00AM ET,Kokkinakis,50.51
P,Jessica Pegula (37259844),Jessica Pegula,37259844,P,8700,Sakkari@Pegula 01/07/2025 08:40PM ET,Pegula,58.22
P,Elina Avanesyan (37259845),Elina Avanesyan,37259845,P,8600,Avanesyan@Minnen 01/07/2025 08:10PM ET,Avanesyan,47.27
P,Ben Shelton (37259846),Ben Shelton,37259846,P,8500,Mensik@Shelton 01/08/2025 12:30AM ET,Shelton,53.66
P,Alejandro Davidovich Fokina (37259847),Alejandro Davidovich Fokina,37259847,P,8400,Korda@Davidovich Fokina 01/07/2025 08:40PM ET,Davidovich Fokina,44.91
P,Veronika Kudermetova (37259848),Veronika Kudermetova,37259848,P,8300,Kudermetova@Osorio 01/07/2025 10:30PM ET,Kudermetova,41.72
P,Diana Shnaider (37259849),Diana Shnaider,37259849,P,8200,Shnaider@Vondrousova 01/07/2025 11:20PM ET,Shnaider,55.62
P,Miomir Kecmanovic (37259850),Miomir Kecmanovic,37259850,P,8100,O'Connell@Kecmanovic 01/07/2025 08:30PM ET,Kecmanovic,44.25
P,Ann Li (37259851),Ann Li,37259851,P,8000,Li@Yastremska 01/07/2025 09:10PM ET,Li,51.62
P,Magda Linette (37259852),Magda Linette,37259852,P,7800,Linette@Joint 01/07/2025 08:00PM ET,Linette,47.24
P,Ons Jabeur (37259853),Ons Jabeur,37259853,P,7700,Putintseva@Jabeur 01/08/2025 01:50AM ET,Jabeur,50.63
